genres,name,discount,discounted_price,original_price
"['Shooter', 'Platform', 'Racing', 'Adventure', 'Arcade']",Pac-Man World Re-Pac,-40%,$17.99,$29.99
"['Fighting', ""Hack and slash/Beat 'em up""]",For Honor: Season 21 - Golden Age,-75%,$7.49,$29.99
"['Shooter', 'Adventure']",Far Cry 5,-85%,$8.99,$59.99
['Shooter'],Predator: Hunting Grounds - Viking Predator,-50%,$14.99,$29.99
"['Shooter', 'Adventure']",Shadow of the Tomb Raider: Definitive Edition,-70%,$11.99,$39.99
['Fighting'],Naruto to Boruto: Shinobi Striker - Deluxe Edition,-90%,$8.99,$89.99
['Fighting'],Dragon Ball FighterZ: Deluxe Edition,-85%,$14.24,$94.99
"['Platform', 'Puzzle', 'Adventure']",Unravel Two,-75%,$4.99,$19.99
"['Shooter', 'Role-playing (RPG)']",Terminator: Resistance Enhanced,-60%,$19.99,$49.99
"['Shooter', 'Adventure']",The Evil Within,-75%,$4.99,$19.99
"['Shooter', 'Racing', 'Adventure']",Mad Max,-75%,$4.99,$19.99
"['Shooter', 'Role-playing (RPG)', 'Adventure']",Rise of the Tomb Raider: 20 Year Celebration,-80%,$5.99,$29.99
"['Shooter', 'Platform', 'Puzzle', 'Adventure']",Tomb Raider: Definitive Edition,-75%,$4.99,$19.99
['Role-playing (RPG)'],Mortal Shell: Enhanced Edition,-70%,$8.99,$29.99
"['Role-playing (RPG)', 'Indie']",Mortal Shell,-70%,$8.99,$29.99
"['Simulator', 'Sport', 'Adventure']",Steep,-75%,$7.49,$29.99
"['Role-playing (RPG)', 'Strategy']",Final Fantasy X/X-2 HD Remaster,-50%,$12.49,$24.99
['Fighting'],Persona 4 Arena Ultimax,-50%,$14.99,$29.99
"['Shooter', 'Role-playing (RPG)', 'Adventure', 'Indie', 'Arcade']",Paint the Town Red,-60%,$7.99,$19.99
"[""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",Trek to Yomi,-40%,$11.99,$19.99
"['Role-playing (RPG)', 'Adventure']",The Seven Deadly Sins: Knights of Britannia,-85%,$8.99,$59.99
['Adventure'],Life is Strange 2,-60%,$12.77,$31.94
"['Shooter', 'Role-playing (RPG)', 'Adventure', 'Indie']",Warhammer: Vermintide 2,-80%,$8.99,$44.99
['Fighting'],Power Rangers: Battle for the Grid,-50%,$9.99,$19.99
['Fighting'],Power Rangers: Battle for the Grid - Collector's Edition,-50%,$14.99,$29.99
"['Fighting', 'Arcade']",Nickelodeon All-Star Brawl,-80%,$9.99,$49.99
"['Racing', 'Simulator', 'Sport', 'Arcade']",Street Outlaws 2: Winner Takes All,-80%,$9.99,$49.99
['Simulator'],Lawn Mowing Simulator,-50%,$9.99,$19.99
"['Simulator', 'Strategy', 'Indie']",Frostpunk: Console Edition,-80%,$5.99,$29.99
"['Strategy', 'Indie']",Five Nights at Freddy's 4,-50%,$3.99,$7.99
['Racing'],Cars 3: Driven to Win,-90%,$3.99,$39.99
"['Racing', 'Simulator', 'Sport']",Monster Jam Steel Titans 2,-67%,$13.19,$39.99
"['Music', 'Indie', 'Arcade']",Just Shapes & Beats,-30%,$13.99,$19.99
"['Shooter', 'Adventure']",Wolfenstein: The New Order,-75%,$4.99,$19.99
['Shooter'],Wolfenstein: The Two-Pack,-75%,$7.49,$29.99
"['Simulator', 'Strategy', 'Adventure', 'Indie']",Five Nights at Freddy's 2,-50%,$3.99,$7.99
['Fighting'],My Hero One's Justice,-90%,$5.99,$59.99
"['Puzzle', 'Adventure', 'Indie']",Bugsnax,-60%,$9.99,$24.99
['Sport'],Olympic Games Tokyo 2020: The Official Video Game,-80%,$7.99,$39.99
['Adventure'],The Walking Dead: The Complete First Season,-60%,$5.99,$14.99
"['Simulator', 'Sport', 'Strategy', 'Indie']",Axis Football 2023,-25%,$14.99,$19.99
"['Shooter', 'Adventure']",Just Cause 4: Complete Edition,-80%,$13.99,$69.99
"['Platform', 'Puzzle', 'Adventure', 'Indie']",Oddworld: Soulstorm - Enhanced Edition,-60%,$15.99,$39.99
"['Role-playing (RPG)', 'Adventure', 'Indie']",Dungeons of Sundaria,-25%,$14.99,$19.99
"['Shooter', 'Role-playing (RPG)', 'Adventure']",Deus Ex: Mankind Divided,-85%,$4.49,$29.99
['Adventure'],Outlast: Bundle of Terror,-90%,$2.89,$28.99
"['Simulator', 'Strategy', 'Indie']",Ultimate Custom Night,-50%,$3.99,$7.99
"['Role-playing (RPG)', 'Strategy', 'Adventure']",Pillars of Eternity II: Deadfire - Ultimate Edition,-75%,$14.99,$59.99
"['Shooter', 'Role-playing (RPG)', 'Adventure']",Terminator: Resistance,-60%,$15.99,$39.99
['Indie'],Party Panic,-40%,$10.19,$16.99
"['Puzzle', 'Adventure']",Escape Academy: Escape From Anti-Escape Island,-25%,$14.99,$19.99
"['Point-and-click', 'Simulator', 'Strategy', 'Adventure', 'Indie']",Five Nights at Freddy's: Sister Location,-50%,$3.99,$7.99
"['Shooter', 'Platform', 'Indie', 'Arcade']",Broforce,-80%,$2.99,$14.99
"['Shooter', 'Role-playing (RPG)', 'Simulator', 'Adventure', 'Indie']",The Walking Dead Onslaught,-80%,$5.99,$29.99
"['Puzzle', 'Role-playing (RPG)', 'Simulator', 'Adventure', 'Indie']",Dysmantle,-50%,$9.99,$19.99
"['Shooter', 'Strategy']",Plants vs. Zombies: Garden Warfare 2 - Deluxe Edition,-70%,$7.49,$24.99
"['Platform', 'Adventure', 'Indie']",A Hat in Time,-50%,$14.99,$29.99
"['Simulator', 'Strategy']",Stellaris: Console Edition,-75%,$9.99,$39.99
"['Point-and-click', 'Puzzle', 'Adventure']",The Walking Dead: Season Two,-60%,$5.99,$14.99
['Fighting'],Primal Rage II,-75%,$9.99,$39.99
"['Fighting', 'Adventure']",Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,-80%,$3.99,$19.99
"['Shooter', 'Adventure']",Wolfenstein: Youngblood,-70%,$5.99,$19.99
"['Racing', 'Simulator', 'Sport']",Monster Energy Supercross: The Official Videogame 4 - Historical Monster Energy Cup 2011,-85%,$4.49,$29.99
"['Shooter', 'Simulator', 'Adventure']",Thief: Deadly Shadows,-85%,$2.99,$19.99
"['Platform', 'Adventure', 'Indie']",Celeste,-60%,$7.99,$19.99
"['Fighting', 'Adventure']",Naruto: Ultimate Ninja Storm,-75%,$4.99,$19.99
"['Simulator', 'Strategy', 'Indie']",PC Building Simulator,-75%,$4.99,$19.99
"['Platform', 'Adventure']",TY the Tasmanian Tiger 2: Bush Rescue HD,-50%,$14.99,$29.99
['Strategy'],Jurassic World Evolution 2: Deluxe Edition,-75%,$13.74,$54.99
"['Fighting', 'Role-playing (RPG)', 'Adventure']",Kingdoms of Amalur: Re-Reckoning,-70%,$11.99,$39.99
"['Platform', 'Simulator', 'Adventure', 'Indie']",Just Die Already,-66%,$5.09,$14.99
"['Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure']",Darksiders III,-80%,$7.99,$39.99
"['Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure']",Darksiders III: Blades & Whip Edition,-85%,$11.99,$79.99
"['Role-playing (RPG)', 'Simulator', 'Strategy']",Relayer,-80%,$11.99,$59.99
"['Strategy', 'Indie']",Five Nights at Freddy's 3,-50%,$3.99,$7.99
"['Adventure', 'Indie']",Soma,-90%,$2.99,$29.99
"['Simulator', 'Strategy', 'Adventure', 'Indie']",This War of Mine: Final Cut,-40%,$11.99,$19.99
"['Shooter', 'Simulator', 'Sport', 'Strategy', 'Adventure']",Hunting Simulator,-83%,$3.39,$19.99
"['Platform', 'Simulator', 'Strategy', 'Adventure', 'Indie']",Octodad: Dadliest Catch,-85%,$2.24,$14.99
"['Racing', 'Simulator', 'Sport']",Overpass,-80%,$5.99,$29.99
